,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
2Q27,2.12,X-RAY DIFFRACTION,10.1111/J.1742-464X.2010.07673.X,"['SO4', 'TPP', 'MG', 'EDO', 'MES']","{'A': ['P0AFI0'], 'B': ['P0AFI0']}","['A', 'B']",20553497,C 2 2 21,26-MAY-07,"[('A', ['4.1.1.8']), ('B', ['4.1.1.8'])]"
2Q28,1.74,X-RAY DIFFRACTION,10.1111/J.1742-464X.2010.07673.X,"['ADP', 'SO4', 'TPP', 'MG', 'EDO', 'MES']","{'A': ['P0AFI0'], 'B': ['P0AFI0']}","['A', 'B']",20553497,C 2 2 21,26-MAY-07,"[('A', ['4.1.1.8']), ('B', ['4.1.1.8'])]"
2Q29,1.82,X-RAY DIFFRACTION,10.1111/J.1742-464X.2010.07673.X,"['MG', 'TPP', 'ACO', 'MES']","{'A': ['P0AFI0'], 'B': ['P0AFI0']}","['A', 'B']",20553497,C 2 2 21,26-MAY-07,"[('A', ['4.1.1.8']), ('B', ['4.1.1.8'])]"
2Q7W,1.4,X-RAY DIFFRACTION,10.1021/BI700663N,"['SO4', 'KST', 'GOL', 'PSZ', 'PMP']",{'A': ['P00509']},['A'],17713924,C 2 2 21,07-JUN-07,"[('A', ['2.6.1.1'])]"
2Q85,2.51,X-RAY DIFFRACTION,,"['973', 'FAD']",{'A': ['P08373']},['A'],,P 1 21 1,08-JUN-07,"[('A', ['1.1.1.158'])]"
2Q8M,2.05,X-RAY DIFFRACTION,10.1074/JBC.M703580200,"['MSE', 'AMP', 'CL', 'MG', 'FBP', 'BG6']","{'A': ['P0A993'], 'B': ['P0A993']}","['A', 'B']",17567577,P 41 2 2,11-JUN-07,"[('A', ['3.1.3.11']), ('B', ['3.1.3.11'])]"
2QA3,1.75,X-RAY DIFFRACTION,10.1021/BI700663N,"['SO4', 'KST', 'GOL', 'PSZ', 'PMP']",{'A': ['P00509']},['A'],17713924,C 2 2 21,14-JUN-07,"[('A', ['2.6.1.1'])]"
2QB2,1.7,X-RAY DIFFRACTION,10.1021/BI700663N,"['SO4', 'KST', 'GOL', 'PSZ', 'PMP']",{'A': ['P00509']},['A'],17713924,C 2 2 21,15-JUN-07,"[('A', ['2.6.1.1'])]"
2QB3,1.45,X-RAY DIFFRACTION,10.1021/BI700663N,"['SO4', 'KST', 'GOL', 'PSZ', 'PMP']",{'A': ['P00509']},['A'],17713924,C 2 2 21,15-JUN-07,"[('A', ['2.6.1.1'])]"
2QBT,1.75,X-RAY DIFFRACTION,10.1021/BI700663N,"['SO4', 'KST', 'GOL', 'PSZ', 'PMP']",{'A': ['P00509']},['A'],17713924,C 2 2 21,18-JUN-07,"[('A', ['2.6.1.1'])]"
2QCP,1.0,X-RAY DIFFRACTION,10.1110/PS.073021307,"['SO4', 'NO3', 'AG']",{'X': ['P77214']},['X'],17893365,P 21 21 21,19-JUN-07,
2QCU,1.75,X-RAY DIFFRACTION,10.1073/PNAS.0712331105,"['BOG', 'TAM', 'FAD', 'IMD', 'PO4', 'SO4', 'EDO']","{'A': ['P13035'], 'B': ['P13035']}","['A', 'B']",18296637,I 2 2 2,19-JUN-07,"[('A', ['1.1.99.5']), ('B', ['1.1.99.5'])]"
2QFI,3.8,X-RAY DIFFRACTION,10.1126/SCIENCE.1143748,['ZN'],"{'A': ['P69380'], 'B': ['P69380']}","['A', 'B']",17717154,P 2 2 21,27-JUN-07,
2QFL,1.9,X-RAY DIFFRACTION,,"['ACT', 'EEE']",{'A': ['P0ADG4']},['A'],,C 1 2 1,27-JUN-07,"[('A', ['3.1.3.25'])]"
2QFQ,1.5,X-RAY DIFFRACTION,10.1074/JBC.M705624200,"['S3P', 'FMT']",{'A': ['P0A6D3']},['A'],17855366,P 21 21 21,27-JUN-07,"[('A', ['2.5.1.19'])]"
2QFS,1.55,X-RAY DIFFRACTION,10.1074/JBC.M705624200,"['S3P', 'FMT']",{'A': ['P0A6D3']},['A'],17855366,P 21 21 21,28-JUN-07,"[('A', ['2.5.1.19'])]"
2QFT,1.55,X-RAY DIFFRACTION,10.1074/JBC.M705624200,"['GPJ', 'S3P', 'FMT']",{'A': ['P0A6D3']},['A'],17855366,P 21 21 21,28-JUN-07,"[('A', ['2.5.1.19'])]"
2QFU,1.6,X-RAY DIFFRACTION,10.1074/JBC.M705624200,"['GPJ', 'S3P', 'FMT']",{'A': ['P0A6D3']},['A'],17855366,P 21 21 21,28-JUN-07,"[('A', ['2.5.1.19'])]"
2QG9,2.7,X-RAY DIFFRACTION,10.1107/S0907444907052985,['ZN'],"{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['A', 'B', 'C', 'D']",18084072,P 3 2 1,28-JUN-07,"[('A', ['2.1.3.2']), ('C', ['2.1.3.2'])]"
2QGF,2.2,X-RAY DIFFRACTION,10.1107/S0907444907052985,['ZN'],"{'A': ['P0A786'], 'C': ['P0A786'], 'B': ['P0A7F3'], 'D': ['P0A7F3']}","['A', 'B', 'C', 'D']",18084072,P 3 2 1,28-JUN-07,"[('A', ['2.1.3.2']), ('C', ['2.1.3.2'])]"
2QI9,2.6,X-RAY DIFFRACTION,10.1126/SCIENCE.1145950,"['1PE', 'MSE', 'PEG', 'PO4', 'SO4']","{'A': ['P06609'], 'C': ['P06611'], 'B': ['P06609'], 'D': ['P06611'], 'F': ['P37028']}","['A', 'C', 'B', 'D', 'F']",17673622,C 1 2 1,03-JUL-07,"[('C', ['3.6.3.33']), ('D', ['3.6.3.33'])]"
2QIA,1.74,X-RAY DIFFRACTION,10.1073/PNAS.0705833104,['U20'],{'A': ['P0A722']},['A'],17698807,P 21 3,03-JUL-07,"[('A', ['2.3.1.129'])]"
2QIV,1.85,X-RAY DIFFRACTION,10.1073/PNAS.0705833104,['U21'],{'X': ['P0A722']},['X'],17698807,P 21 3,05-JUL-07,"[('X', ['2.3.1.129'])]"
2QRY,2.25,X-RAY DIFFRACTION,10.1021/BI7018282,"['TPS', 'MSE']","{'A': ['P31550'], 'C': ['P31550'], 'B': ['P31550'], 'D': ['P31550']}","['A', 'C', 'B', 'D']",18177053,P 1 21 1,30-JUL-07,
2QTA,1.85,X-RAY DIFFRACTION,10.1074/JBC.M704326200,"['MG', 'TDP']","{'A': ['P0AFG8'], 'B': ['P0AFG8']}","['A', 'B']",17635929,P 1 21 1,01-AUG-07,"[('A', ['1.2.4.1']), ('B', ['1.2.4.1'])]"
2QTC,1.77,X-RAY DIFFRACTION,10.1074/JBC.M704326200,"['TDK', 'MG']","{'A': ['P0AFG8'], 'B': ['P0AFG8']}","['A', 'B']",17635929,P 1 21 1,01-AUG-07,"[('A', ['1.2.4.1']), ('B', ['1.2.4.1'])]"
2QVR,2.18,X-RAY DIFFRACTION,10.1074/JBC.M707302200,"['MG', 'CIT', 'FDP', 'MSE']",{'A': ['P0A993']},['A'],17933867,I 2 2 2,08-AUG-07,"[('A', ['3.1.3.11'])]"
2QW1,1.7,X-RAY DIFFRACTION,10.1021/CB900021Q,"['3MG', 'NA', 'CA']",{'A': ['P0AEE5']},['A'],19348466,P 21 21 21,09-AUG-07,
2QZS,2.2,X-RAY DIFFRACTION,10.1074/JBC.M809804200,"['GLC', 'ADP', '250']",{'A': ['P0A6U8']},['A'],19244233,I 41,17-AUG-07,"[('A', ['2.4.1.21'])]"
2R19,2.16,X-RAY DIFFRACTION,10.1016/J.JMB.2008.04.045,,"{'A': ['P0ADV1'], 'B': ['P0ADV1']}","['A', 'B']",18534617,P 21 21 21,22-AUG-07,
2R1A,3.26,X-RAY DIFFRACTION,10.1016/J.JMB.2008.04.045,,"{'A': ['P0ADV1'], 'C': ['P0ADV1'], 'B': ['P0ADV1'], 'E': ['P0ADV1'], 'D': ['P0ADV1'], 'G': ['P0ADV1'], 'F': ['P0ADV1'], 'H': ['P0ADV1']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",18534617,P 32 2 1,22-AUG-07,
2R1R,3.0,X-RAY DIFFRACTION,10.1016/S0969-2126(97)00259-1,['TTP'],"{'A': ['P00452'], 'C': ['P00452'], 'B': ['P00452'], 'E': ['P69924'], 'D': ['P69924'], 'F': ['P69924'], 'P': ['P69924']}","['A', 'C', 'B', 'E', 'D', 'F', 'P']",9309223,H 3 2,21-JUL-97,"[('A', ['1.17.4.1']), ('C', ['1.17.4.1']), ('B', ['1.17.4.1'])]"
2R45,2.3,X-RAY DIFFRACTION,10.1073/PNAS.0712331105,"['2PG', 'BOG', 'FAD', 'IMD', 'PO4', 'EDO', 'T3A']","{'A': ['P13035'], 'B': ['P13035']}","['A', 'B']",18296637,I 2 2 2,30-AUG-07,"[('A', ['1.1.99.5']), ('B', ['1.1.99.5'])]"
2R46,2.1,X-RAY DIFFRACTION,10.1073/PNAS.0712331105,"['PEP', 'BOG', 'FAD', 'IMD', 'EDO', 'T3A']","{'A': ['P13035'], 'B': ['P13035']}","['A', 'B']",18296637,I 2 2 2,30-AUG-07,"[('A', ['1.1.99.5']), ('B', ['1.1.99.5'])]"
2R4E,2.1,X-RAY DIFFRACTION,10.1073/PNAS.0712331105,"['BOG', 'FAD', 'IMD', 'PO4', 'EDO', 'T3A', '13P']","{'A': ['P13035'], 'B': ['P13035']}","['A', 'B']",18296637,I 2 2 2,31-AUG-07,"[('A', ['1.1.99.5']), ('B', ['1.1.99.5'])]"
2R4J,1.96,X-RAY DIFFRACTION,10.1073/PNAS.0712331105,"['BCN', 'MSE', 'BOG', 'TAM', 'FAD', 'IMD', 'PO4', 'EDO', '13P']","{'A': ['P13035'], 'B': ['P13035']}","['A', 'B']",18296637,I 2 2 2,31-AUG-07,"[('A', ['1.1.99.5']), ('B', ['1.1.99.5'])]"
2R4L,3.3,X-RAY DIFFRACTION,10.1038/NATURE07678,['LDA'],"{'A': ['P10384'], 'C': ['P10384'], 'B': ['P10384']}","['A', 'B', 'C']",19182779,C 2 2 21,31-AUG-07,
2R4N,3.2,X-RAY DIFFRACTION,10.1038/NATURE07678,['LDA'],"{'A': ['P10384'], 'B': ['P10384']}","['A', 'B']",19182779,P 1 21 1,31-AUG-07,
2R4O,3.6,X-RAY DIFFRACTION,10.1038/NATURE07678,['LDA'],"{'A': ['P10384'], 'B': ['P10384']}","['A', 'B']",19182779,P 21 21 21,31-AUG-07,
2R4P,2.9,X-RAY DIFFRACTION,10.1038/NATURE07678,['LDA'],"{'A': ['P10384'], 'B': ['P10384']}","['A', 'B']",19182779,C 1 2 1,31-AUG-07,
2R4T,2.26,X-RAY DIFFRACTION,10.1074/JBC.M809804200,"['GLC', 'PE3', 'ADP', '250']",{'A': ['P0A6U8']},['A'],19244233,I 41,01-SEP-07,"[('A', ['2.4.1.21'])]"
2R4U,2.37,X-RAY DIFFRACTION,10.1074/JBC.M809804200,"['GLC', 'PE3', 'ADP', '250']",{'A': ['P0A6U8']},['A'],19244233,I 41,01-SEP-07,"[('A', ['2.4.1.21'])]"
2R5N,1.6,X-RAY DIFFRACTION,10.1021/BI700844M,"['RP5', 'CA', 'TPP', 'R5P', 'EDO']","{'A': ['P27302'], 'B': ['P27302']}","['A', 'B']",17914867,P 21 21 21,04-SEP-07,"[('A', ['2.2.1.1']), ('B', ['2.2.1.1'])]"
2R6G,2.8,X-RAY DIFFRACTION,10.1038/NATURE06264,"['ATP', 'MAL']","{'A': ['P68187'], 'B': ['P68187'], 'E': ['P0AEX9'], 'G': ['P68183'], 'F': ['P02916']}","['A', 'B', 'E', 'G', 'F']",18033289,P 1,05-SEP-07,"[('A', ['3.6.3.19']), ('B', ['3.6.3.19'])]"
2R88,2.6,X-RAY DIFFRACTION,10.1038/NATURE07678,,"{'A': ['P10384'], 'B': ['P10384']}","['A', 'B']",19182779,C 2 2 21,10-SEP-07,
2R89,3.4,X-RAY DIFFRACTION,10.1073/PNAS.1018532108,,"{'A': ['P10384'], 'B': ['P10384']}","['A', 'B']",21593406,C 2 2 21,10-SEP-07,
2R8A,3.0,X-RAY DIFFRACTION,10.1073/PNAS.1018532108,['C8E'],"{'A': ['P10384'], 'B': ['P10384']}","['A', 'B']",21593406,P 41,10-SEP-07,
2R8O,1.47,X-RAY DIFFRACTION,10.1021/BI700844M,"['T5X', 'EDO', 'CA']","{'A': ['P27302'], 'B': ['P27302']}","['A', 'B']",17914867,P 21 21 21,11-SEP-07,"[('A', ['2.2.1.1']), ('B', ['2.2.1.1'])]"
2R8P,1.65,X-RAY DIFFRACTION,10.1021/BI700844M,"['T6F', 'EDO', 'CA']","{'A': ['P27302'], 'B': ['P27302']}","['A', 'B']",17914867,P 21 21 21,11-SEP-07,"[('A', ['2.2.1.1']), ('B', ['2.2.1.1'])]"
2R8T,2.3,X-RAY DIFFRACTION,,"['FBP', 'UNX']",{'A': ['P0A9C9']},['A'],,P 4 2 2,11-SEP-07,"[('A', ['3.1.3.11'])]"
2R9H,3.1,X-RAY DIFFRACTION,,['CL'],"{'A': ['P37019'], 'C': ['PDB-C'], 'B': ['P37019'], 'E': ['PDB-E'], 'D': ['PDB-D'], 'F': ['PDB-F']}","['A', 'C', 'B', 'E', 'D', 'F']",,C 1 2 1,12-SEP-07,
2RBF,2.25,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.084,,"{'A': ['P09546'], 'C': ['PDB-C'], 'B': ['P09546'], 'D': ['PDB-D']}","['A', 'C', 'B', 'D']",18586269,C 1 2 1,18-SEP-07,
2RD2,2.6,X-RAY DIFFRACTION,10.1073/PNAS.0711812105,"['SO4', 'QSI']","{'A': ['P00962'], 'B': ['PDB-B']}","['A', 'B']",18477696,C 2 2 21,20-SEP-07,"[('A', ['6.1.1.18'])]"
2RDD,3.5,X-RAY DIFFRACTION,10.1016/J.STR.2007.09.023,['AIC'],"{'A': ['P31224'], 'B': ['P0ADZ7']}","['A', 'B']",18073115,H 3 2,22-SEP-07,
2RDZ,1.74,X-RAY DIFFRACTION,10.1021/BI702175W,"['CA', 'SO4', 'HEC', 'EDO']","{'A': ['P0ABK9'], 'C': ['P0ABK9'], 'B': ['P0ABK9'], 'D': ['P0ABK9']}","['A', 'C', 'B', 'D']",18311941,P 1 21 1,25-SEP-07,"[('A', ['1.7.2.2']), ('C', ['1.7.2.2']), ('B', ['1.7.2.2']), ('D', ['1.7.2.2'])]"
2RE8,2.6,X-RAY DIFFRACTION,10.1073/PNAS.0711812105,"['SO4', 'GSU']","{'A': ['P00962'], 'B': ['PDB-B']}","['A', 'B']",18477696,C 2 2 21,25-SEP-07,"[('A', ['6.1.1.18'])]"
2RF7,2.04,X-RAY DIFFRACTION,10.1021/BI702175W,"['CA', 'HEC', 'EDO']","{'A': ['P0ABK9'], 'C': ['P0ABK9'], 'B': ['P0ABK9'], 'D': ['P0ABK9']}","['A', 'C', 'B', 'D']",18311941,P 21 21 21,28-SEP-07,"[('A', ['1.7.2.2']), ('C', ['1.7.2.2']), ('B', ['1.7.2.2']), ('D', ['1.7.2.2'])]"
2RJG,2.4,X-RAY DIFFRACTION,10.1110/PS.083495908,"['SO4', 'PLP', 'KCX']","{'A': ['P0A6B4'], 'C': ['P0A6B4'], 'B': ['P0A6B4'], 'D': ['P0A6B4']}","['A', 'C', 'B', 'D']",18434499,P 6,15-OCT-07,"[('A', ['5.1.1.1']), ('C', ['5.1.1.1']), ('B', ['5.1.1.1']), ('D', ['5.1.1.1'])]"
2RJH,2.4,X-RAY DIFFRACTION,10.1110/PS.083495908,"['DCS', 'SO4', 'KCX']","{'A': ['P0A6B4'], 'C': ['P0A6B4'], 'B': ['P0A6B4'], 'D': ['P0A6B4']}","['A', 'C', 'B', 'D']",18434499,P 6,15-OCT-07,"[('A', ['5.1.1.1']), ('C', ['5.1.1.1']), ('B', ['5.1.1.1']), ('D', ['5.1.1.1'])]"
2ROQ,,SOLUTION NMR,10.1038/NATURE07162,,{'A': ['P11454']},['A'],18704088,,05-APR-08,"[('A', ['2.7.7.-'])]"
2RRK,,SOLUTION NMR,,,{'A': ['P77788']},['A'],,,01-JAN-11,"[('A', ['3.6.1.-'])]"
2SCU,2.3,X-RAY DIFFRACTION,10.1006/JMBI.1998.2324,"['COA', 'NEP', 'SO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'E', 'D']",9917402,P 43 2 2,24-SEP-98,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5'])]"
2TIR,2.0,X-RAY DIFFRACTION,10.1021/BI00070A017,['CU'],{'A': ['P0AA25']},['A'],8098620,P 21 21 21,10-JAN-93,
2TPT,2.6,X-RAY DIFFRACTION,10.1006/JMBI.1998.1941,['SO4'],{'A': ['P07650']},['A'],9698549,P 43 21 2,24-NOV-97,"[('A', ['2.4.2.4'])]"
2TRX,1.68,X-RAY DIFFRACTION,10.1016/0022-2836(90)90313-B,"['MPD', 'CU']","{'A': ['P0AA25'], 'B': ['P0AA25']}","['A', 'B']",2181145,C 1 2 1,19-MAR-90,
2TSC,1.97,X-RAY DIFFRACTION,10.1021/BI00482A004,"['UMP', 'CB3']","{'A': ['P0A884'], 'B': ['P0A884']}","['A', 'B']",2223754,P 63,03-JUL-91,"[('A', ['2.1.1.45']), ('B', ['2.1.1.45'])]"
2UAG,1.7,X-RAY DIFFRACTION,10.1006/JMBI.1999.2800,"['MG', 'UMA', 'KCX', 'ADP']",{'A': ['P14900']},['A'],10356330,P 41,23-FEB-99,"[('A', ['6.3.2.9'])]"
2UDP,1.8,X-RAY DIFFRACTION,,"['NAD', 'EDO', 'NA', 'UPP']","{'A': ['P09147'], 'B': ['P09147']}","['A', 'B']",8931134,P 21 21 21,08-MAR-97,"[('A', ['5.1.3.2']), ('B', ['5.1.3.2'])]"
2USH,2.22,X-RAY DIFFRACTION,10.1038/8253,"['ZN', 'WO4']","{'A': ['P07024'], 'B': ['P07024']}","['A', 'B']",10331872,P 21 21 21,24-SEP-98,"[('A', ['3.1.3.5']), ('B', ['3.1.3.5'])]"
2UUO,2.5,X-RAY DIFFRACTION,10.1021/JM800762U,"['SO4', 'KCX', 'LK3']",{'A': ['P14900']},['A'],19007109,P 41,06-MAR-07,"[('A', ['6.3.2.9'])]"
2UUP,1.88,X-RAY DIFFRACTION,10.1021/JM800762U,"['SO4', 'LK4', 'KCX']",{'A': ['P14900']},['A'],19007109,P 41,06-MAR-07,"[('A', ['6.3.2.9'])]"
2UYU,1.96,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'FE']","{'A': ['P32169'], 'E': ['P32169']}","['A', 'E']",18187656,P 4 2 2,20-APR-07,"[('A', ['4.1.2.19']), ('E', ['4.1.2.19'])]"
2UYV,2.2,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'TLA']","{'A': ['P32169'], 'C': ['P32169'], 'B': ['P32169'], 'D': ['P32169']}","['A', 'B', 'C', 'D']",18187656,I 2 2 2,20-APR-07,"[('A', ['4.1.2.19']), ('B', ['4.1.2.19']), ('C', ['4.1.2.19']), ('D', ['4.1.2.19'])]"
2UZZ,3.2,X-RAY DIFFRACTION,10.1002/PROT.21898,"['NA', 'FAD']","{'A': ['P40874'], 'C': ['P40874'], 'B': ['P40874'], 'D': ['P40874']}","['A', 'C', 'B', 'D']",18186483,P 1 2 1,03-MAY-07,"[('A', ['1.5.3.-']), ('C', ['1.5.3.-']), ('B', ['1.5.3.-']), ('D', ['1.5.3.-'])]"
2V03,1.33,X-RAY DIFFRACTION,10.1111/J.1742-4658.2007.06063.X,"['GOL', 'PLP', 'CIT']",{'A': ['P16703']},['A'],17894825,P 65 2 2,08-MAY-07,"[('A', ['2.5.1.47'])]"
2V0Y,2.0,X-RAY DIFFRACTION,10.1186/1472-6807-9-65,"['MG', 'CL', 'CME']",{'A': ['P0A853']},['A'],19814824,F 2 2 2,21-MAY-07,"[('A', ['4.1.99.1'])]"
2V1P,1.9,X-RAY DIFFRACTION,10.1186/1472-6807-9-65,"['MG', 'CL', 'CME']",{'A': ['P0A853']},['A'],19814824,F 2 2 2,28-MAY-07,"[('A', ['4.1.99.1'])]"
2V29,2.03,X-RAY DIFFRACTION,10.1021/BI7012799,"['ZN', 'ACT', 'EDO']","{'A': ['P32169'], 'B': ['P32169']}","['A', 'B']",18085797,P 4,04-JUN-07,"[('A', ['4.1.2.19']), ('B', ['4.1.2.19'])]"
2V2A,1.75,X-RAY DIFFRACTION,10.1021/BI7012799,"['ZN', '13P']",{'A': ['P32169']},['A'],18085797,P 4 21 2,04-JUN-07,"[('A', ['4.1.2.19'])]"
2V2B,1.5,X-RAY DIFFRACTION,10.1021/BI7012799,"['ZN', 'ACT', 'PGR', 'PO4']",{'A': ['P32169']},['A'],18085797,I 4,04-JUN-07,"[('A', ['4.1.2.19'])]"
2V4Y,2.8,X-RAY DIFFRACTION,10.1074/JBC.M802614200,['GTP'],"{'A': ['P0A7E9'], 'C': ['P0A7E9'], 'B': ['P0A7E9'], 'E': ['P0A7E9'], 'D': ['P0A7E9'], 'F': ['P0A7E9']}","['A', 'C', 'B', 'E', 'D', 'F']",18945668,P 21 21 21,30-SEP-08,"[('A', ['2.7.4.22']), ('C', ['2.7.4.22']), ('B', ['2.7.4.22']), ('E', ['2.7.4.22']), ('D', ['2.7.4.22']), ('F', ['2.7.4.22'])]"
2V58,2.1,X-RAY DIFFRACTION,10.1073/PNAS.0811275106,"['LZJ', 'CL']","{'A': ['P24182'], 'B': ['P24182']}","['A', 'B']",19164768,P 21 21 21,02-OCT-08,"[('A', ['6.3.4.14']), ('B', ['6.3.4.14'])]"
2V59,2.4,X-RAY DIFFRACTION,10.1073/PNAS.0811275106,['LZK'],"{'A': ['P24182'], 'B': ['P24182']}","['A', 'B']",19164768,P 21 21 21,02-OCT-08,"[('A', ['6.3.4.14']), ('B', ['6.3.4.14'])]"
2V5A,2.31,X-RAY DIFFRACTION,10.1073/PNAS.0811275106,"['LZL', 'CL']","{'A': ['P24182'], 'B': ['P24182']}","['A', 'B']",19164768,P 21 21 21,02-OCT-08,"[('A', ['6.3.4.14']), ('B', ['6.3.4.14'])]"
2V81,2.4,X-RAY DIFFRACTION,10.1016/J.BMC.2007.10.043,['MSE'],{'A': ['Q6BF16']},['A'],17981470,H 3,02-AUG-07,"[('A', ['4.1.2.21'])]"
2V82,2.1,X-RAY DIFFRACTION,10.1016/J.BMC.2007.10.043,"['KDP', 'MSE']",{'A': ['Q6BF16']},['A'],17981470,H 3,02-AUG-07,"[('A', ['4.1.2.21'])]"
2V8N,3.6,X-RAY DIFFRACTION,10.1073/PNAS.0707688104,,"{'A': ['P02920'], 'B': ['P02920']}","['A', 'B']",17881559,P 21 21 21,09-AUG-07,
2V93,,SOLUTION NMR,10.1038/NATURE06232,['MXT'],{'A': ['P0AEX9']},['A'],17960247,,21-AUG-07,
2V9E,1.58,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'ACT']","{'A': ['P32169'], 'B': ['P32169']}","['A', 'B']",18187656,P 4 21 2,23-AUG-07,"[('A', ['4.1.2.19']), ('B', ['4.1.2.19'])]"
2V9F,2.1,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'ACT']",{'A': ['P32169']},['A'],18187656,I 4,23-AUG-07,"[('A', ['4.1.2.19'])]"
2V9G,2.7,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'TLA']","{'A': ['P32169'], 'C': ['P32169'], 'B': ['P32169'], 'D': ['P32169']}","['A', 'B', 'C', 'D']",18187656,I 2 2 2,23-AUG-07,"[('A', ['4.1.2.19']), ('B', ['4.1.2.19']), ('C', ['4.1.2.19']), ('D', ['4.1.2.19'])]"
2V9I,1.8,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'EDO']","{'A': ['P32169'], 'B': ['P32169']}","['A', 'B']",18187656,P 4,23-AUG-07,"[('A', ['4.1.2.19']), ('B', ['4.1.2.19'])]"
2V9L,1.23,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['PGO', 'ZN', 'ACT', 'PO4']",{'A': ['P32169']},['A'],18187656,P 4 21 2,24-AUG-07,"[('A', ['4.1.2.19'])]"
2V9M,1.3,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['ZN', 'CIT', 'EDO', 'CA']","{'A': ['P32169'], 'B': ['P32169']}","['A', 'B']",18187656,P 4,24-AUG-07,"[('A', ['4.1.2.19']), ('B', ['4.1.2.19'])]"
2V9N,1.4,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,"['CIT', 'PGO', 'GOL', 'ZN', 'PO4']","{'A': ['P32169'], 'C': ['P32169'], 'B': ['P32169'], 'D': ['P32169']}","['C', 'A', 'B', 'D']",18187656,C 1 2 1,24-AUG-07,"[('C', ['4.1.2.19']), ('A', ['4.1.2.19']), ('B', ['4.1.2.19']), ('D', ['4.1.2.19'])]"
2V9O,1.95,X-RAY DIFFRACTION,10.1126/SCIENCE.1150421,['ZN'],"{'A': ['P32169'], 'E': ['P32169']}","['A', 'E']",18187656,P 4,24-AUG-07,"[('A', ['4.1.2.19']), ('E', ['4.1.2.19'])]"
2V9X,2.2,X-RAY DIFFRACTION,10.1016/J.ABB.2007.10.013,"['SO4', 'DUT', 'MG']","{'A': ['P28248'], 'C': ['P28248'], 'B': ['P28248'], 'E': ['P28248'], 'D': ['P28248'], 'G': ['P28248'], 'F': ['P28248'], 'I': ['P28248'], 'H': ['P28248'], 'K': ['P28248'], 'J': ['P28248'], 'L': ['P28248']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'L']",17996716,P 21 21 21,28-AUG-07,"[('A', ['3.5.4.13']), ('C', ['3.5.4.13']), ('B', ['3.5.4.13']), ('E', ['3.5.4.13']), ('D', ['3.5.4.13']), ('G', ['3.5.4.13']), ('F', ['3.5.4.13']), ('I', ['3.5.4.13']), ('H', ['3.5.4.13']), ('K', ['3.5.4.13']), ('J', ['3.5.4.13']), ('L', ['3.5.4.13'])]"
2VB2,1.7,X-RAY DIFFRACTION,10.1038/NCHEMBIO.2007.57,"['SO4', 'CU']",{'X': ['P77214']},['X'],18157124,P 21 21 21,06-SEP-07,
2VB3,2.33,X-RAY DIFFRACTION,10.1038/NCHEMBIO.2007.57,['AG'],{'X': ['P77214']},['X'],18157124,P 21 21 21,06-SEP-07,
2VB7,1.6,X-RAY DIFFRACTION,10.1107/S0907444907049852,['CSD'],"{'A': ['P0A953'], 'C': ['P0A953'], 'B': ['P0A953'], 'D': ['P0A953']}","['A', 'C', 'B', 'D']",18084068,P 21 21 21,06-SEP-07,"[('A', ['2.3.1.41']), ('C', ['2.3.1.41']), ('B', ['2.3.1.41']), ('D', ['2.3.1.41'])]"
2VB8,1.52,X-RAY DIFFRACTION,10.1107/S0907444907049852,"['CL', 'TLM']","{'A': ['P0A953'], 'C': ['P0A953'], 'B': ['P0A953'], 'D': ['P0A953']}","['A', 'C', 'B', 'D']",18084068,P 21 21 21,06-SEP-07,"[('A', ['2.3.1.41']), ('C', ['2.3.1.41']), ('B', ['2.3.1.41']), ('D', ['2.3.1.41'])]"
2VB9,1.5,X-RAY DIFFRACTION,10.1107/S0907444907049852,['CL'],"{'A': ['P0A953'], 'C': ['P0A953'], 'B': ['P0A953'], 'D': ['P0A953']}","['A', 'C', 'B', 'D']",18084068,P 21 21 21,06-SEP-07,"[('A', ['2.3.1.41']), ('C', ['2.3.1.41']), ('B', ['2.3.1.41']), ('D', ['2.3.1.41'])]"
